haskell-appar 0.1.8-6
haskell-asn1-encoding 0.9.6-29
haskell-asn1-parse 0.9.5-29
haskell-asn1-types 0.3.4-8
haskell-assoc 1.0.1-2
haskell-async 2.2.2-10
haskell-attoparsec 0.13.2.4-6
haskell-attoparsec-iso8601 1.0.1.0-60
haskell-auto-update 0.1.6-63
haskell-base-compat 0.11.1-7
haskell-base-compat-batteries 0.11.1-28
haskell-base-orphans 0.8.2-31
haskell-base-prelude 1.4-1
haskell-base16-bytestring 0.1.1.7-1
haskell-base64-bytestring 1.1.0.0-4
haskell-basement 0.0.11-6
haskell-bifunctors 5.5.7-16
haskell-bindings-uname 0.1-15
haskell-bitarray 0.0.1.1-16
haskell-blaze-builder 0.4.1.0-12
haskell-blaze-html 0.9.1.2-27
haskell-blaze-markup 0.8.2.5-5
haskell-bsb-http-chunked 0.0.0.4-103
haskell-byteable 0.1.1-18
haskell-byteorder 1.0.4-17
haskell-casa-client 0.0.1-56
haskell-casa-types 0.0.1-45
haskell-case-insensitive 1.2.1.0-10
haskell-cereal 0.5.8.1-5
haskell-cheapskate 0.1.1.2-105
haskell-clock 0.8-5
haskell-cmdargs 0.10.20-12
haskell-code-page 0.2-8
haskell-colour 2.3.5-45
haskell-comonad 5.0.6-24
haskell-conduit 1.3.2-18
haskell-conduit-extra 1.3.5-21
haskell-connection 0.3.1-35
haskell-constraints 0.12-7
haskell-contravariant 1.5.2-6
haskell-cookie 0.4.5-5
haskell-cryptohash-sha256 0.11.101.0-15
haskell-cryptonite 0.27-1
haskell-cryptonite-conduit 0.2.2-267
haskell-css-text 0.1.3.0-84
haskell-data-default 0.7.1.1-57
haskell-data-default-class 0.1.2.0-17
haskell-data-default-instances-containers 0.0.1-29
haskell-data-default-instances-dlist 0.0.1-70
haskell-data-default-instances-old-locale 0.0.1-29
haskell-digest 0.0.1.2-18
haskell-distributive 0.6.2-5
haskell-dlist 0.8.0.8-5
haskell-easy-file 0.2.2-12
haskell-echo 0.1.3-15
haskell-ed25519 0.0.5.0-17
haskell-either 5.0.1.1-62
haskell-enclosed-exceptions 1.0.3-57
haskell-erf 2.0.0.0-17
haskell-extra 1.7.3-3
haskell-fast-logger 3.0.1-39
haskell-file-embed 0.0.12.0-1
haskell-filelock 0.1.1.4-5
haskell-fingertree 0.1.4.2-38
haskell-fmlist 0.9.3-5
haskell-foundation 0.0.25-26
haskell-fsnotify 0.3.0.1-103
haskell-generic-deriving 1.13.1-7
haskell-githash 0.1.4.0-50
haskell-glob 0.10.0-43
haskell-hackage-security 0.6.0.1-39
haskell-hashable 1.3.0.0-6
haskell-haskeline0.7 0.7.5.0-1
haskell-hi-file-parser 0.1.0.0-42
haskell-hinotify 0.4-16
haskell-hourglass 0.2.12-53
haskell-hpack 0.34.2-16
haskell-http-api-data 0.4.1.1-34
haskell-http-client 0.7.1-5
haskell-http-client-tls 0.3.5.3-253
haskell-http-conduit 2.3.7.3-146
haskell-http-date 0.0.8-63
haskell-http-download 0.2.0.0-78
haskell-http-types 0.12.3-59
haskell-http2 2.0.4-25
haskell-ieee754 0.8.0-16
haskell-infer-license 0.2.0-54
haskell-integer-logarithms 1.0.3-6
haskell-iproute 1.7.9-9
haskell-js-flot 0.8.3-17
haskell-js-jquery 3.3.1-452
haskell-libffi 0.1-18
haskell-libyaml 0.1.2-35
haskell-lifted-async 0.10.0.6-12
haskell-lifted-base 0.2.3.12-70
haskell-listlike 4.7-5
haskell-lukko 0.1.1.2-6
haskell-megaparsec 8.0.0-7
haskell-memory 0.15.0-20
haskell-microlens 0.4.11.2-5
haskell-microlens-mtl 0.2.0.1-6
haskell-microlens-th 0.4.3.5-2
haskell-mime-types 0.1.0.9-7
haskell-mintty 0.1.2-11
haskell-mmap 0.5.9-18
haskell-monad-control 1.0.2.3-70
haskell-monad-logger 0.3.32-42
haskell-monad-loops 0.4.3-18
haskell-mono-traversable 1.0.15.1-37
haskell-mustache 2.3.1-120
haskell-neat-interpolation 0.5.1-21
haskell-network 3.1.1.1-17
haskell-network-byte-order 0.1.5-4
haskell-network-uri 2.6.3.0-108
haskell-old-locale 1.0.0.7-23
haskell-old-time 1.1.0.3-23
haskell-only 0.1-15
haskell-open-browser 0.2.1.0-19
haskell-optparse-applicative 0.15.1.0-37
haskell-optparse-generic 1.4.0-1
haskell-optparse-simple 0.1.1.2-217
haskell-pantry 0.4.0.1-78
haskell-parser-combinators 1.2.1-5
haskell-path 0.8.0-11
haskell-path-io 1.6.0-37
